@id	name	short_name	old_name	date_started	population:pupils:2012	population:pupils:2015	isced:level	addr:region	addr:province	addr:town	addr:city	addr:borough	addr:housenumber	addr:street	addr:street:corner	addr:neighbourhood	addr:village	addr:hamlet	operator	latitude	longitude	hrslph100m	priority
134156	Sandakan Elementary School			1956	939	958	1	Autonomous Region in Muslim Mindanao	Maguindanao	Sultan Kudarat							Dalumangcob		Sultan Kudarat I District of Maguindanao II Schools Division, Department of Education	7.265766	124.289786	true	medium
318408	Maimbung National High – Extension			1999	908	793	2-3	Autonomous Region in Muslim Mindanao	Sulu	Maimbung									Maimbung District of Sulu I Schools Division, Department of Education	5.935556	121.021944	true	medium
114597	Quinastillojan Elementary School			1946	227	256	1	Bicol	Albay		Tabaco						Quinastillojan		Tabaco West District of Tabaco City Schools Division, Department of Education	13.341085	123.661456	true	medium
310503	Hacienda High School			2003	499	499	2-3	Bicol	Albay		Tabaco					Zone 2			Tabaco East District of Tabaco City Schools Division, Department of Education	13.375362	123.796028	true	medium
301868	Ponso National High School			1965	941	941	2-3	Bicol	Albay	Polangui							Guilid Oma		Polangui North District of Albay Schools Division, Department of Education	13.288856	123.518381	true	medium
112074	Misibis Elementary School			1946	207	240	1	Bicol	Albay	Tiwi							Upper Misibis		Tiwi District of Albay Schools Division, Department of Education	13.509221	123.6091787	true	medium
112320	Baao West Central School			1945	1126	1297	0-1	Bicol	Camarines Sur	Baao									Baao District of Camarines Sur Schools Division, Department of Education	13.454488	123.368332	true	medium
112540	Guijalo Elementary School			1928	491	553	0-1	Bicol	Camarines Sur	Caramoan				Real Street					Caramoan District of Camarines Sur Schools Division, Department of Education	13.738989	123.867254	true	medium
112553	Mandiclom Elementary School			1942	130	168	0-1	Bicol	Camarines Sur	Caramoan									Caramoan District of Camarines Sur Schools Division, Department of Education	13.824334	123.725865	true	medium
112646	Paghaluban Primary School			2002	29	33	1	Bicol	Camarines Sur	Lagonoy								Paghaluban	Lagonoy North District of Camarines Sur Schools Division, Department of Education	13.88789078	123.5566664	true	medium
112651	Agosais Primary School			1948	77	84	0-1	Bicol	Camarines Sur	Lagonoy									Lagonoy South District of Camarines Sur Schools Division, Department of Education	13.748473	123.517557	true	medium
112654	Bolo Elementary School			1965	131	148	0-1	Bicol	Camarines Sur	Lagonoy									Lagonoy South District of Camarines Sur Schools Division, Department of Education	13.744179	123.534687	false	medium
112783	Maycatmon Elementary School			1965	168	198	1	Bicol	Camarines Sur	Milaor						Zone 1			Milaor-Gainza District of Camarines Sur Schools Division, Department of Education	13.58300549	123.2426977	true	medium
112832	Dolorosa Elementary School			1957	290	320	1	Bicol	Camarines Sur	Nabua						Zone 5	Dolorosa		Nabua West District of Camarines Sur Schools Division, Department of Education	13.384925	123.307749	true	medium
112834	Gorong-gorong Elementary School			1970	194	222	0-1	Bicol	Camarines Sur	Nabua							San Vicente		Nabua West District of Camarines Sur Schools Division, Department of Education	13.38252219	123.291235	true	medium
112849	Cagmanaba Elementary School			1950	254	296	0-1	Bicol	Camarines Sur	Ocampo									Ocampo District of Camarines Sur Schools Division, Department of Education	13.545668	123.325818	true	medium
112910	Odicon Elementary School			1957	400	458	1	Bicol	Camarines Sur	Pasacao				Basco Street					Pasacao District of Camarines Sur Schools Division, Department of Education	13.531357	123.061624	false	medium
309763	Camarines Sur Sports Academy			2006-06-01	100	100	2-3	Bicol	Camarines Sur	Pili						Freedom Sports Complex			Pili District of Camarines Sur Schools Division, Department of Education	13.635318	123.192844	true	medium
309753	Salogon High School			2006	275	275	2-3	Bicol	Camarines Sur	San Jose						Zone 2			San Jose District of Camarines Sur Schools Division, Department of Education	13.65587044	123.5206175	true	medium
113080	Bulawan Elementary School			1936	217	249	1	Bicol	Camarines Sur	Sipocot				Revita Street					Sipocot South District of Camarines Sur Schools Division, Department of Education	13.72191	122.874985	true	medium
113115	Bani Elementary School			1921	103	113	0-1	Bicol	Camarines Sur	Tinambac									Tinambac North District of Camarines Sur Schools Division, Department of Education	13.964242	123.328774	true	medium
113212	Milaviga Integrated School		Milaviga Elementary School	1952	275	323	0-1	Bicol	Catanduanes	Caramoran									Caramoran South District of Catanduanes Schools Division, Department of Education	13.859052	124.13755	true	medium
302106	Tubli National High School			1962	729	729	2-3	Bicol	Catanduanes	Caramoran									Caramoran North District of Catanduanes Schools Division, Department of Education	13.926812	124.151196	true	medium
309801	Panganiban National High School			2001	460	460	2-3	Bicol	Catanduanes	Panganiban				Santa Ana Street					Panganiban District of Catanduanes Schools Division, Department of Education	13.9068746	124.3054925	true	medium
113263	Palawig Elementary School			1940	162	182	0-1	Bicol	Catanduanes	San Andres									San Andres East District of Catanduanes Schools Division, Department of Education	13.573437	124.142826	true	medium
113665	Amancio Aguilar Elementary School			1935	1215	1378	0-1	Bicol	Masbate		Masbate			Danao	Mabini				Masbaste North District 1 Masbate City Schools Division, Department of Education	12.36807801	123.6225214	true	medium
113715	Tugbo Elementary School			2008	622	718	1	Bicol	Masbate		Masbate								Masbate South District 1 Masbate City Schools Division, Department of Education	12.356153	123.632493	true	medium
302174	Tinigban National High School			1974	492	492	2-3	Bicol	Masbate	Aroroy									Aroroy East District of Masbate Schools Division, Department of Education	12.4984478	123.2548445	true	medium
113445	Balud Central School			1963	656	751	1	Bicol	Masbate	Balud									Balud North District of Masbate Schools Division, Department of Education	12.03842454	123.1949193	true	medium
113486	Panisihan Elementary School			1952	248	271	1	Bicol	Masbate	Batuan				Ballesteros Street					Batuan District of Masbate Schools Division, Department of Education	12.19725578	123.7800202	true	medium
113495	Malobago Elementary School			1925	169	200	1	Bicol	Masbate	Cataingan							Malobago		Cataingan East District of Masbate Schools Division, Department of Education	12.0638	123.9702	true	medium
113520	Matubinao Elementary School			1950	239	276	0-1	Bicol	Masbate	Cataingan							Matubinao		Cataingan West District of Masbate Schools Division, Department of Education	12.02135609	123.9114081	true	medium
113649	Jose Z. Meza Sr Memorial Elementary School			1946	1061	1208	1	Bicol	Masbate	Mandaon									Mandaon South District of Masbate Schools Division, Department of Education	12.36747403	123.6250504	true	medium
113757	Tabuc Elementary School			2002	289	321	1	Bicol	Masbate	Mobo							Tabuc		Mobo North District of Masbate Schools Division, Department of Education	12.23725541	123.3219661	false	medium
302127	Buyo National High School			1987	237	237	2-3	Bicol	Masbate	San Fernando							Buyo		San Fernando District of Masbate Schools Division, Department of Education	12.45942644	123.7697118	true	medium
113904	Abner Buro Primary School			1997	119	129	1	Bicol	Masbate	San Pascual									San Pascual South District of Masbate Schools Division, Department of Education	12.99248398	123.0747476	false	medium
114523	Bogña Integrated School			1937-06-01	342	403	0-1	Bicol	Sorsogon		Sorsogon	Bacon					Bato		Bacon East District of Sorsogon City Schools Division, Department of Education	13.030466	124.059811	true	medium
113981	Bangate Elementary School			1998	81	88	1	Bicol	Sorsogon	Barcelona							Bangate		Barcelona District of Sorsogon Schools Division, Department of Education	12.808935	124.147312	true	medium
114365	Bayasong Elementary School			1950	274	315	1	Bicol	Sorsogon	Pilar							Bayasong		Pilar II District of Sorsogon Schools Division, Department of Education	12.988462	123.683212	true	medium
114416	Talaonga Elementary School			1945	567	651	1	Bicol	Sorsogon	Santa Magdalena						Lower Calpi	Talaonga		Sta. Magdalena District of Sorsogon Schools Division, Department of Education	12.685943	124.127158	true	medium
102376	San EstebanE Elementary School		Baquilao Elementary School	1950	166	195	0-1	Cagayan Valley	Cagayan	Alcala						Zone 3	San Esteban		Alcala East District of Cagayan Schools Division, Department of Education	17.912594	121.716705	true	medium
102371	Maraburab Elementary School			1961	144	174	0-1	Cagayan Valley	Cagayan	Alcala									Alcala East District of Cagayan Schools Division, Department of Education	17.947757	121.65235	true	medium
102410	Dugayung-Jurisdiccion Elementary School		Dugayung Elementary School	1935	242	278	0-1	Cagayan Valley	Cagayan	Amulung									Amulung East District of Cagayan Schools Division, Department of Education	17.867806	121.69163	true	medium
306020	Baggao National High School – Agaman Annex			2010	360	360	2-3	Cagayan Valley	Cagayan	Baggao							Agaman		Calayan East District of Cagayan Schools Division, Department of Education	17.997336	121.920808	true	medium
102505	Baggao North Central School			1954	430	477	0-1	Cagayan Valley	Cagayan	Baggao						Zone 4			Baggao North District of Cagayan Schools Division, Department of Education	17.968794	121.928269	true	medium
102618	Pata Elementary School			1958	281	322	0-1	Cagayan Valley	Cagayan	Claveria				Maharlika Highway					Claveria East District of Cagayan Schools Division, Department of Education	18.618318	121.141805	true	medium
102644	Agnaoan Primary School		Agnaoan Community School	2000	40	59	0-1	Cagayan Valley	Cagayan	Gattaran									Gattaran East District of Cagayan Schools Division, Department of Education	18.0637326	121.8347803	true	medium
102793	San Juan Elementary School			1967	102	120	1	Cagayan Valley	Cagayan	Pamplona									Pamplona District of Cagayan Schools Division, Department of Education	18.47751445	121.34535	true	medium
102818	Peñablanca West Central School			1938	771	852	0-1	Cagayan Valley	Cagayan	Penablanca									Penablanca West District of Cagayan Schools Division, Department of Education	17.627406	121.780614	true	medium
102830	Villa Rey Elementary School		San Gaspar Elementary School	2000	168	191	0-1	Cagayan Valley	Cagayan	Piat									Piat District of Cagayan Schools Division, Department of Education	17.706884	121.548749	true	medium
102896	Ubong Elementary School			1945	215	245	0-1	Cagayan Valley	Cagayan	Solana									Solana West Educational Zone District of Cagayan Schools Division, Department of Education	17.596053	121.611916	true	medium
300487	Solana Fresh Water Fishery School			1963	701	701	2-3	Cagayan Valley	Cagayan	Solana				Cagayan Provincial Road					Solana North District of Cagayan Schools Division, Department of Education	17.65503819	121.6888431	true	medium
103221	San Antonio Elementary School – Annex			2012	91	140	1	Cagayan Valley	Isabela		Cauayan							Tabbaruk	Cauayan North District Cauayan City Schools Division, Department of Education	16.862703	121.775081	true	medium
300515	Cumu Integrated School			1994	95	95	2-3	Cagayan Valley	Isabela	Angadanan									Alicia North District of Isabela Schools Division, Department of Education	16.778164	121.754268	true	medium
300562	Muñoz High School			1967	846	846	2-3	Cagayan Valley	Isabela	Roxas							Muñoz West		Alicia North District of Isabela Schools Division, Department of Education	17.121826	121.620293	true	medium
109564	Dela Paz Itaas Elementary School			1957	66	78	1	Calabarzon	Batangas		Batangas						Dela Paz Itaas		Coastal District Batangas City Schools Division, Department of Education	13.639541	121.093529	true	medium
301483	Talumpok National High School			1972	381	381	2	Calabarzon	Batangas		Batangas								East District Batangas City Schools Division, Department of Education	13.73317346	121.1542445	true	medium
109662	Inosloban-Marawoy Elementary School			2000	1775	2039	0-1	Calabarzon	Batangas		Lipa						Inosloban		North Disrict District of Lipa City Schools Division, Department of Education	13.97555178	121.1683972	true	medium
109682	Pagolingin Bata Elementary School			1967	219	238	0-1	Calabarzon	Batangas		Lipa								South District Lipa City Schools Division, Department of Education	13.89356692	121.1623674	true	medium
107208	Coral na Munti Elementary School			1936	659	750	1	Calabarzon	Batangas	Agoncillo							Coral Na Munti		Agoncillo District of Batangas Schools Division, Department of Education	13.935275	120.91449	true	medium
107259	As-is Elementary School		As-is Balayong Elementary School	1920	258	301	1	Calabarzon	Batangas	Bauan									Bauan District of Batangas Schools Division, Department of Education	13.82027778	120.9930556	true	medium
107305	Puting Kahoy School			1969	37	51	1	Calabarzon	Batangas	Calaca							Puting Kahoy		Calaca District of Batangas Schools Division, Department of Education	13.954708	120.826009	true	medium
107291	Coral Ni Bacal Elementary School		Coral Ni Bacal Primary School	1965	158	181	1	Calabarzon	Batangas	Calaca									Calaca District of Batangas Schools Division, Department of Education	13.965914	120.770309	true	medium
301097	Dacanlao G. Agoncillo National High School			1980	3076	3076	2	Calabarzon	Batangas	Calaca									Calaca District of Batangas Schools Division, Department of Education	13.939267	120.792251	true	medium
107341	Dalipit East Barrio School			1975	19	27	1	Calabarzon	Batangas	Cuenca									Cuenca District of Batangas Schools Division, Department of Education	13.87019252	121.0294731	true	medium
107348	Lumampao Elementary School			1959	78	86	1	Calabarzon	Batangas	Cuenca									Cuenca District of Batangas Schools Division, Department of Education	13.91005703	121.0341599	true	medium
107366	Tulay Elementary School			2000	556	651	1	Calabarzon	Batangas	Ibaan							Tulay		Ibaan District of Batangas Schools Division, Department of Education	13.85630318	121.1470845	true	medium
107382	San Gregorio Elementary School – Duhat Annex			2002	122	139	0-1	Calabarzon	Batangas	Laurel							San Gregorio	Duhat	Laurel District of Batangas Schools Division, Department of Education	14.038674	120.865402	true	medium
107439	Malapad na Parang Elementary School			1946	205	233	1	Calabarzon	Batangas	Lobo							Malapad na Parang		Lobo District of Batangas Schools Division, Department of Education	13.707951	121.216965	true	medium
301117	Malabrigo National High School			1980	416	416	2	Calabarzon	Batangas	Lobo									Lobo District of Batangas Schools Division, Department of Education	13.602444	121.260391	true	medium
107461	San Jose Elementary School		San Jose Primary School	1967	61	68	1	Calabarzon	Batangas	Mabini									Mabini District of Batangas Schools Division, Department of Education	14.110606	121.064272	true	medium
107474	San Gregorio Elementary School			1969	155	186	1	Calabarzon	Batangas	Malvar							San Gregorio		Malvar District of Batangas Schools Division, Department of Education	14.04462834	121.1239923	true	medium
301116	Macalamcam-B National High School			1992	305	305	2	Calabarzon	Batangas	Rosario							Macalamcam B		Rosario East District of Batangas Schools Division, Department of Education	13.842414	121.316185	false	medium
107583	Tulos Elementary School			2000	319	363	1	Calabarzon	Batangas	Rosario									Rosario West District of Batangas Schools Division, Department of Education	13.753642	121.25164	false	medium
107643	Bonliw Elementary School			1931	138	162	1	Calabarzon	Batangas	San Luis							Bonliw		San Luis District of Batangas Schools Division, Department of Education	13.839109	120.937256	true	medium
107650	Muzon Elementary School			1969	222	273	1	Calabarzon	Batangas	San Luis							Muzon		San Luis District of Batangas Schools Division, Department of Education	13.843833	120.922882	true	medium
107640	Balite Primary School			1969	35	55	1	Calabarzon	Batangas	San Luis									San Luis District of Batangas Schools Division, Department of Education	13.838392	120.939995	true	medium
107654	Santa Monica Elementary School			1931	251	284	1	Calabarzon	Batangas	San Luis									San Luis District of Batangas Schools Division, Department of Education	13.841523	120.930191	true	medium
107703	San Joaquin Elementary School			1900	405	461	1	Calabarzon	Batangas	Santo Tomas							San Joaquin		Sto. Tomas South District of Batangas Schools Division, Department of Education	14.05162217	121.2007783	true	medium
107697	San Antonio Elementary School		Judge Eustacio Maloles Sr. Memorial School	1938	979	1109	1	Calabarzon	Batangas	Santo Tomas									Sto. Tomas North District of Batangas Schools Division, Department of Education	14.1186341	121.1567682	true	medium
107708	San Pablo Elementary School			1969	439	506	1	Calabarzon	Batangas	Santo Tomas									Sto. Tomas South District of Batangas Schools Division, Department of Education	14.079175	121.189232	true	medium
107821	Bayudbud Elementary School			1939	205	226	1	Calabarzon	Batangas	Tuy									Tuy District of Batangas Schools Division, Department of Education	14.065964	120.756485	true	medium
107906	New Era Elementary School		Bucal Ii Elementary School	1990	575	670	1	Calabarzon	Cavite		Dasmarinas					New Era	Sampaloc 5		Dasmariñas I District of Dasmarinas City Schools Division, Department of Education	14.27996679	120.964924	true	medium
107847	Matagbak Elementary School			1945-06-01	267	307	0-1	Calabarzon	Cavite	Alfonso							Matagbak 1		Alfonso District of Cavite Schools Division, Department of Education	14.129065	120.840833	true	medium
107861	Maitim Elementary School			1958-06-01	233	268	0-1	Calabarzon	Cavite	Amadeo									Amadeo District of Cavite Schools Division, Department of Education	14.179243	121.275587	true	medium
107894	Carmona Elementary School			1905-06-01	1828	2139	0-1	Calabarzon	Cavite	Carmona									Carmona District of Cavite Schools Division, Department of Education	14.31358514	121.0537139	true	medium
301177	Carmona National High School			1965-06-01	5116	5116	2	Calabarzon	Cavite	Carmona									Carmona District of Cavite Schools Division, Department of Education	14.31445067	121.0543399	true	medium
107947	General Trias Memorial Elementary School	Gen. Trias Memorial Elementary School		1924-06-01	1186	1317	0-1	Calabarzon	Cavite	General Trias							San Juan I		General Trias I District of Cavite Schools Division, Department of Education	14.3821871	120.8775168	true	medium
107983	Carsadang Bago Elementary School			1958-06-01	944	1125	0-1	Calabarzon	Cavite	Imus							Carsadang Bago I		Imus II District of Cavite Schools Division, Department of Education	14.42943785	120.9277611	true	medium
107990	Toclong Elementary School			1963-10-01	501	600	0-1	Calabarzon	Cavite	Imus							Toclong 1-C		Imus II District of Cavite Schools Division, Department of Education	14.438401	120.9321707	true	medium
108015	Mataas na Lupa Elementary School			1995-06-01	455	521	0-1	Calabarzon	Cavite	Indang							Mataas Na Lupa		Indang II District of Cavite Schools Division, Department of Education	14.229349	120.880849	true	medium
108006	Banaba Lejos Elementary School			1940-06-01	173	210	0-1	Calabarzon	Cavite	Indang									Indang II District of Cavite Schools Division, Department of Education	14.2350477	120.8302432	true	medium
108021	Kaingen-Poblacion Elementary School			1963-06-01	206	228	0-1	Calabarzon	Cavite	Kawit				Tanggulan Street					Kawit District of Cavite Schools Division, Department of Education	14.44559512	120.9033961	true	medium
307820	Bucal National High School – Santa Mercedes Annex			2010-06-01	145	145	2	Calabarzon	Cavite	Maragondon							Santa Mercedes		Maragondon District of Cavite Schools Division, Department of Education	14.220634	120.622038	true	medium
108115	Bukal Elementary School			1964-06-01	193	216	0-1	Calabarzon	Cavite	Silang				Gen. Vito Belarmino Street					Silang II District of Cavite Schools Division, Department of Education	14.283073	120.960127	true	medium
108137	Tibig Elementary School			1950-06-01	460	534	0-1	Calabarzon	Cavite	Silang									Silang II District of Cavite Schools Division, Department of Education	14.2272648	121.0009256	true	medium
108240	Casile Elementary School			1966	252	275	1	Calabarzon	Laguna	Cabuyao						Purok 2	Casile		Cabuyao District of Laguna Schools Division, Department of Education	14.16955969	121.0194257	true	medium
108239	Cabuyao Central School			1937	2197	2553	1	Calabarzon	Laguna	Cabuyao									Cabuyao District of Laguna Schools Division, Department of Education	14.27693541	121.1268215	true	medium
301235	Casile National High School – Annex			1994	214	214	2-3	Calabarzon	Laguna	Cabuyao						Purok 2			Cabuyao District of Laguna Schools Division, Department of Education	14.17003459	121.0195011	true	medium
108282	Talaongan West Elementary School		Talaongan West	1954	223	241	1	Calabarzon	Laguna	Cavinti							Talaongan West		Cavinti District of Laguna Schools Division, Department of Education	14.284521	121.524384	true	medium
108322	Santo Domingo Elementary School			1993	48	62	1	Calabarzon	Laguna	Luisiana									Luisiana District of Laguna Schools Division, Department of Education	14.20415	121.551277	false	medium
108388	Unson Elementary School		Cabanbanan Elementary School	1921	1064	1196	1	Calabarzon	Laguna	Pagsanjan				San Luis Road			Cabanbanan		Pagsanjan District of Laguna Schools Division, Department of Education	14.238145	121.430511	true	medium
108380	C. Lanuza Elementary School			2000	493	534	1	Calabarzon	Laguna	Pagsanjan				Talisay Road					Pagsanjan District of Laguna Schools Division, Department of Education	14.261443	121.428337	true	medium
108382	M.Z. Lanuza Elementary School			1997	183	197	1	Calabarzon	Laguna	Pagsanjan								Sitio 2	Pagsanjan District of Laguna Schools Division, Department of Education	14.233031	121.434029	true	medium
301277	Unson National High School			1987	541	541	2	Calabarzon	Laguna	Pagsanjan				Liwag Street					Pagsanjan District of Laguna Schools Division, Department of Education	14.273056	121.453888	true	medium
108392	Casa Real Elementary School			1928	202	234	1	Calabarzon	Laguna	Pakil									Pangil-Pakil District of Laguna Schools Division, Department of Education	14.355951	121.391113	true	medium
108442	Pagsawitan Elementary School			1952	1016	1158	0-1	Calabarzon	Laguna	Santa Cruz								Huwaran	Santa Cruz District of Laguna Schools Division, Department of Education	14.26502	121.424934	true	medium
108514	Caridad Ibaba Elementary School			1969	561	664	0-1	Calabarzon	Quezon	Atimonan							Caridad Ibaba		Atimonan District of Quezon Schools Division, Department of Education	14.00427883	121.9159305	true	medium
108511	Atimonan Central School – Annex			1997	414	458	0-1	Calabarzon	Quezon	Atimonan							Doña Aurora		Atimonan District of Quezon Schools Division, Department of Education	13.98592391	121.9457048	true	medium
108516	Inalig Elementary School			1953	109	129	0-1	Calabarzon	Quezon	Atimonan									Atimonan District of Quezon Schools Division, Department of Education	13.97713705	121.9692117	true	medium
308018	Buenavista National High School – San Pedro Annex			2004	106	106	2	Calabarzon	Quezon	Buenavista							San Pedro		Buenavista District of Quezon Schools Division, Department of Education	13.743346	122.459084	true	medium
108599	Doña Aurora Elementary School			1962	163	186	0-1	Calabarzon	Quezon	Calauag									Calauag West District of Quezon Schools Division, Department of Education	14.034511	122.336884	false	medium
301291	Bantulinao Integrated School			2002	341	341	2-3	Calabarzon	Quezon	Calauag									Calauag West District of Quezon Schools Division, Department of Education	13.95749812	122.2874987	true	medium
108730	Dancalan Caimawan Elementary School			1945	115	135	0-1	Calabarzon	Quezon	Guinayangan									Guinayangan District of Quezon Schools Division, Department of Education	13.82091137	122.4656296	true	medium
108783	Binulasan Integrated School		Binulasan Elementary School	1945	970	1072	0-1	Calabarzon	Quezon	Infanta							Binonoan		Infanta District of Quezon Schools Division, Department of Education	14.73219691	121.6986411	true	medium
301410	Tongohin National High School			1972	774	774	2-3	Calabarzon	Quezon	Infanta									Infanta District of Quezon Schools Division, Department of Education	14.7210956	121.6289823	true	medium
108817	San Andres Elementary School			1965	110	119	0-1	Calabarzon	Quezon	Lopez									Lopez East District of Quezon Schools Division, Department of Education	13.769398	122.413273	false	medium
108820	Santo Niño Elementary School			1921	188	214	0-1	Calabarzon	Quezon	Lopez									Lopez East District of Quezon Schools Division, Department of Education	13.770398	122.365379	true	medium
308005	Cagsiay I National High School			2002	478	478	2-3	Calabarzon	Quezon	Mauban				National Road					Mauban South District of Quezon Schools Division, Department of Education	14.22155983	121.7487583	true	medium
